sample_ID,Region,batch_ID,site,lat,long,blade_location,sample_wet_wt,sample_dry_wt,wet_minus_dry,moisture_content,sample_width,Total_As,Total_As_wet,Inorganic_As,iAs_wet,percent_iAs_to_totAs,Cd,Cd_wet,Hg,Hg_wet,Pb,Pb_wet,P,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Se,Sr,Mo,Ag,Tl
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,4.33,0.543,3.7870,0.1254,10,68.1297,0.5959,0.1229,0.0011,0.1804,1.5859,0.0139,0.0456,0.0004,1.7200,0.0150,3408.7520,1.4453,0.1419,5.3125,69.7013,0.0781,0.2448,2.3190,18.3866,0.1003,693.1027,0.2057,0.0221,0.0013
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,3.53,0.373,3.1570,0.1057,10,39.3420,0.3518,0.2834,0.0025,0.7203,0.1515,0.0014,0.0762,0.0007,1.6088,0.0144,2047.5959,3.0697,0.7429,9.6362,364.0252,0.1708,0.5656,1.6327,36.0730,0.1286,1103.1527,0.2231,0.0248,0.0046
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,4.10,0.583,3.5170,0.1422,10,41.0699,0.3523,0.1596,0.0014,0.3886,0.8295,0.0071,0.0337,0.0003,0.7490,0.0064,2361.0446,1.3481,0.2228,4.2016,79.5335,0.0599,0.1713,1.3462,11.1754,0.0777,609.0686,0.1329,0.0169,0.0019
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,2.22,0.292,1.9280,0.1315,10,33.7132,0.2928,0.2654,0.0023,0.7872,0.2757,0.0024,0.0627,0.0005,1.2093,0.0105,1959.0575,2.7527,0.6039,7.1464,255.0770,0.1152,0.3428,1.4675,31.0495,0.0686,769.4148,0.1867,0.0190,0.0044
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,5.31,0.778,4.5320,0.1465,8,74.2675,0.6339,0.0834,0.0007,0.1124,1.7696,0.0151,0.0465,0.0004,0.5363,0.0046,3924.5140,0.8217,0.1062,4.2354,43.6318,0.0656,0.2198,2.3980,16.8407,0.0797,531.8176,0.1984,0.0229,0.0007
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,6.93,0.739,6.1910,0.1066,10,33.7415,0.3014,0.3936,0.0035,1.1666,0.2384,0.0021,0.0355,0.0003,1.6815,0.0150,2216.7045,3.9026,1.2739,14.2020,604.8061,0.2475,1.0363,1.9860,32.0996,0.1642,798.0400,0.2492,0.0239,0.0083
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,10.11,1.239,8.8710,0.1226,10,38.0455,0.3338,0.0982,0.0009,0.2581,0.9323,0.0082,0.0318,0.0003,0.7388,0.0065,2220.8592,0.6847,0.0868,2.6886,31.6588,0.0382,0.1656,1.4848,11.4112,0.0239,392.9501,0.1385,0.0103,0.0008
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,7.66,1.344,6.3160,0.1755,10,27.1679,0.2240,0.1632,0.0013,0.6007,0.1180,0.0010,0.0352,0.0003,1.2681,0.0105,1546.8864,1.8681,0.5467,7.8658,262.3999,0.1287,0.5320,1.4722,25.6441,0.0582,681.6160,0.1787,0.0205,0.0041
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,4.64,0.810,3.8300,0.1746,10,83.0041,0.6851,0.0905,0.0007,0.1091,1.4620,0.0121,0.0285,0.0002,0.5223,0.0043,3905.6465,0.8616,0.1013,4.0774,44.1768,0.0600,0.2634,1.6428,14.6518,0.0465,597.9368,0.2139,0.0180,0.0015
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,3.81,0.486,3.3240,0.1276,10,48.1633,0.4202,0.2615,0.0023,0.5430,0.6282,0.0055,0.0584,0.0005,1.8046,0.0157,2929.5499,2.8437,0.7129,9.1021,368.4731,0.1636,0.7850,3.9366,28.1887,0.1053,1071.0638,0.2495,0.0195,0.0046
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,3.83,0.533,3.2970,0.1392,10,64.4988,0.5552,0.1320,0.0011,0.2046,1.6438,0.0141,0.0313,0.0003,0.8350,0.0072,3646.7700,1.2313,0.1238,5.0725,52.5788,0.0688,0.2638,2.1213,14.3163,0.0313,594.9925,0.1975,0.0113,0.0013
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,2.11,0.284,1.8260,0.1346,10,41.2870,0.3573,0.2466,0.0021,0.5972,0.3619,0.0031,0.0688,0.0006,3.2560,0.0282,2279.5314,3.5731,0.8181,9.5646,413.6624,0.1660,0.7388,2.5246,38.6636,0.0643,1009.5199,0.2677,0.0194,0.0060
NORM_1B,GLH,batch_1,NORM,42.5789,-70.6936,bottom,12.72,2.396,10.3240,0.1884,10,64.4108,0.5228,0.0687,0.0006,0.1067,0.9489,0.0077,0.0229,0.0002,0.7297,0.0059,3140.4936,2.3410,0.2022,3.7480,51.3165,0.0612,0.1935,1.4204,23.0744,0.0685,695.3147,0.1118,0.0139,0.0005
